"site_no","sample_dt","year","month","mday","result_va"
"USGS-02336300",1993-03-09,1993,3,9,7.7
"USGS-02336300",1993-04-13,1993,4,13,8.5
"USGS-02336300",1993-05-17,1993,5,17,8.2
"USGS-02336300",1993-05-19,1993,5,19,2.2
"USGS-02336300",1993-06-14,1993,6,14,1.9
"USGS-02336300",1993-06-22,1993,6,22,9.1
"USGS-02336300",1993-07-19,1993,7,19,9.6
"USGS-02336300",1993-08-10,1993,8,10,6.7
"USGS-02336300",1993-09-13,1993,9,13,8.1
"USGS-02336300",1993-10-13,1993,10,13,11
"USGS-02336300",1993-11-16,1993,11,16,7.9
"USGS-02336300",1993-12-14,1993,12,14,5.2
"USGS-02336300",1994-01-18,1994,1,18,7.7
"USGS-02336300",1994-02-15,1994,2,15,7.4
"USGS-02336300",1994-03-08,1994,3,8,8
"USGS-02336300",1994-04-22,1994,4,22,8.3
"USGS-02336300",1994-05-17,1994,5,17,6.7
"USGS-02336300",1994-06-21,1994,6,21,9.2
"USGS-02336300",1994-06-27,1994,6,27,1.8
"USGS-02336300",1994-06-27,1994,6,27,2.4
"USGS-02336300",1994-06-27,1994,6,27,1.7
"USGS-02336300",1994-07-19,1994,7,19,5.4
"USGS-02336300",1994-08-17,1994,8,17,4
"USGS-02336300",1994-09-12,1994,9,12,7.7
"USGS-02336300",1994-10-13,1994,10,13,2.8
"USGS-02336300",1994-11-15,1994,11,15,8.7
"USGS-02336300",1994-12-15,1994,12,15,7.7
"USGS-02336300",1995-01-17,1995,1,17,6.3
"USGS-02336300",1995-01-19,1995,1,19,5.7
"USGS-02336300",1995-02-15,1995,2,15,7.1
"USGS-02336300",1995-03-15,1995,3,15,8
"USGS-02336300",1995-03-27,1995,3,27,8.2
"USGS-02336300",1995-04-11,1995,4,11,7.6
"USGS-02336300",1995-04-11,1995,4,11,5.2
"USGS-02336300",1995-04-11,1995,4,11,6
"USGS-02336300",1995-04-22,1995,4,22,2.7
"USGS-02336300",1995-04-22,1995,4,22,1.6
"USGS-02336300",1995-04-22,1995,4,22,1.5
"USGS-02336300",1995-04-22,1995,4,22,1.7
"USGS-02336300",1995-04-22,1995,4,22,2.1
"USGS-02336300",1995-04-22,1995,4,22,2.3
"USGS-02336300",1995-05-22,1995,5,22,7.9
"USGS-02336300",1995-06-20,1995,6,20,8.1
"USGS-02336300",1995-07-26,1995,7,26,9
"USGS-02336300",1995-08-17,1995,8,17,11
"USGS-02336300",1995-09-19,1995,9,19,5.2
"USGS-02336300",2003-07-30,2003,7,30,5.35
"USGS-02336300",2003-07-30,2003,7,30,3.61
"USGS-02336300",2003-07-30,2003,7,30,4.08
"USGS-02336300",2003-07-30,2003,7,30,3.25
"USGS-02336300",2003-07-30,2003,7,30,2.63
"USGS-02336300",2003-07-30,2003,7,30,2.77
"USGS-02336300",2003-07-30,2003,7,30,2.27
